time,F_x,F_y,F_z,T_x,T_y,T_z,U_sup,U_fluid,fluid_fraction
1.110000,8.43072491E-05,-1.80498987E-10,1.00045844E-02,-3.85477139E-11,1.68002794E-08,6.18223328E-11,1.77590118E-03,1.81054195E-03,9.80648219E-01
1.120000,8.49898662E-05,-1.72517525E-10,1.00060830E-02,-3.64182365E-11,1.68038373E-08,6.00920330E-11,1.77617336E-03,1.81081953E-03,9.80648219E-01
1.130000,8.56375413E-05,-1.64831923E-10,1.00075274E-02,-3.43692611E-11,1.68073318E-08,5.84180672E-11,1.77643174E-03,1.81108303E-03,9.80648219E-01
1.140000,8.62517222E-05,-1.57430511E-10,1.00089199E-02,-3.23975157E-11,1.68107628E-08,5.67983545E-11,1.77667696E-03,1.81133311E-03,9.80648219E-01
1.150000,8.68337953E-05,-1.50301635E-10,1.00102624E-02,-3.04998036E-11,1.68141306E-08,5.52308534E-11,1.77690964E-03,1.81157040E-03,9.80648219E-01
1.160000,8.73850897E-05,-1.43433900E-10,1.00115571E-02,-2.86730355E-11,1.68174363E-08,5.37135891E-11,1.77713036E-03,1.81179551E-03,9.80648219E-01
1.170000,8.79068801E-05,-1.36816331E-10,1.00128059E-02,-2.69142527E-11,1.68206808E-08,5.22446685E-11,1.77733969E-03,1.81200900E-03,9.80648219E-01
1.180000,8.84003900E-05,-1.30438430E-10,1.00140106E-02,-2.52206256E-11,1.68238656E-08,5.08222811E-11,1.77753817E-03,1.81221142E-03,9.80648219E-01
1.190000,8.88667937E-05,-1.24290223E-10,1.00151732E-02,-2.35894594E-11,1.68269923E-08,4.94447014E-11,1.77772629E-03,1.81240328E-03,9.80648219E-01
1.200000,8.91616397E-05,-1.11717003E-10,1.00161598E-02,-2.32564049E-11,1.68307004E-08,4.80968270E-11,1.77789089E-03,1.81257117E-03,9.80648219E-01
1.210000,8.95115080E-05,-1.01145029E-10,1.00171694E-02,-2.24848642E-11,1.68350065E-08,4.70038724E-11,1.77804734E-03,1.81273074E-03,9.80648219E-01
1.220000,8.98584539E-05,-9.44874466E-11,1.00181558E-02,-2.13561271E-11,1.68381547E-08,4.57809485E-11,1.77819598E-03,1.81288235E-03,9.80648219E-01
1.230000,9.01903866E-05,-8.94534058E-11,1.00191145E-02,-2.01285749E-11,1.68408487E-08,4.45589703E-11,1.77833716E-03,1.81302636E-03,9.80648219E-01
1.240000,9.05046698E-05,-8.48905201E-11,1.00200463E-02,-1.88792899E-11,1.68433998E-08,4.33629920E-11,1.77847123E-03,1.81316310E-03,9.80648219E-01
