time,u,gap
3.641000,-1.494725e-02,2.80122000e-03
3.642000,-1.489633e-02,2.78632000e-03
3.643000,-1.484688e-02,2.77148000e-03
3.644000,-1.479173e-02,2.75669000e-03
3.645000,-1.473613e-02,2.74195000e-03
3.646000,-1.467307e-02,2.72728000e-03
3.647000,-1.461331e-02,2.71266000e-03
3.648000,-1.455474e-02,2.69811000e-03
3.649000,-1.450159e-02,2.68361000e-03
3.650000,-1.445090e-02,2.66916000e-03
3.651000,-1.439782e-02,2.65476000e-03
3.652000,-1.434379e-02,2.64041000e-03
3.653000,-1.429039e-02,2.62612000e-03
3.654000,-1.423931e-02,2.61188000e-03
3.655000,-1.419063e-02,2.59769000e-03
3.656000,-1.414527e-02,2.58355000e-03
3.657000,-1.409781e-02,2.56945000e-03
3.658000,-1.404396e-02,2.55541000e-03
3.659000,-1.398781e-02,2.54142000e-03
3.660000,-1.393809e-02,2.52748000e-03
3.661000,-1.389172e-02,2.51359000e-03
3.662000,-1.384370e-02,2.49974600e-03
3.663000,-1.378855e-02,2.48595700e-03
3.664000,-1.373197e-02,2.47222500e-03
3.665000,-1.367613e-02,2.45854900e-03
3.666000,-1.362697e-02,2.44492200e-03
3.667000,-1.357430e-02,2.43134800e-03
3.668000,-1.351969e-02,2.41782800e-03
3.669000,-1.346774e-02,2.40436100e-03
3.670000,-1.341629e-02,2.39094400e-03
3.671000,-1.336291e-02,2.37758100e-03
3.672000,-1.330450e-02,2.36427700e-03
3.673000,-1.324214e-02,2.35103500e-03
3.674000,-1.318427e-02,2.33785100e-03
3.675000,-1.313222e-02,2.32471800e-03
3.676000,-1.307950e-02,2.31163900e-03
3.677000,-1.302390e-02,2.29861500e-03
3.678000,-1.296028e-02,2.28565500e-03
3.679000,-1.289525e-02,2.27275900e-03
3.680000,-1.283753e-02,2.25992200e-03
3.681000,-1.278550e-02,2.24713600e-03
3.682000,-1.273729e-02,2.23439900e-03
3.683000,-1.268338e-02,2.22171600e-03
3.684000,-1.262298e-02,2.20909300e-03
3.685000,-1.257100e-02,2.19652200e-03
3.686000,-1.251746e-02,2.18400400e-03
3.687000,-1.245884e-02,2.17154500e-03
3.688000,-1.239581e-02,2.15915000e-03
3.689000,-1.233455e-02,2.14681500e-03
3.690000,-1.228283e-02,2.13453200e-03
3.691000,-1.223319e-02,2.12229900e-03
3.692000,-1.218218e-02,2.11011700e-03
3.693000,-1.212852e-02,2.09798800e-03
3.694000,-1.207346e-02,2.08591500e-03
3.695000,-1.202285e-02,2.07389200e-03
3.696000,-1.197492e-02,2.06191700e-03
3.697000,-1.192901e-02,2.04998800e-03
3.698000,-1.188513e-02,2.03810300e-03
3.699000,-1.184025e-02,2.02626300e-03
3.700000,-1.179264e-02,2.01447000e-03
3.701000,-1.173955e-02,2.00273100e-03
3.702000,-1.168657e-02,1.99104400e-03
3.703000,-1.163994e-02,1.97940400e-03
3.704000,-1.159500e-02,1.96780900e-03
3.705000,-1.155071e-02,1.95625800e-03
3.706000,-1.150519e-02,1.94475300e-03
3.707000,-1.145533e-02,1.93329800e-03
3.708000,-1.140378e-02,1.92189400e-03
3.709000,-1.135047e-02,1.91054400e-03
3.710000,-1.130012e-02,1.89924300e-03
3.711000,-1.125261e-02,1.88799100e-03
3.712000,-1.120357e-02,1.87678700e-03
3.713000,-1.115318e-02,1.86563400e-03
3.714000,-1.110656e-02,1.85452700e-03
3.715000,-1.105992e-02,1.84346800e-03
3.716000,-1.100815e-02,1.83245900e-03
3.717000,-1.095314e-02,1.82150600e-03
3.718000,-1.089402e-02,1.81061200e-03
3.719000,-1.083985e-02,1.79977200e-03
3.720000,-1.078681e-02,1.78898600e-03
3.721000,-1.073540e-02,1.77825000e-03
3.722000,-1.068406e-02,1.76756600e-03
3.723000,-1.063399e-02,1.75693200e-03
3.724000,-1.058615e-02,1.74634600e-03
3.725000,-1.053282e-02,1.73581300e-03
3.726000,-1.047652e-02,1.72533700e-03
3.727000,-1.042296e-02,1.71491400e-03
3.728000,-1.037303e-02,1.70454100e-03
3.729000,-1.032727e-02,1.69421300e-03
3.730000,-1.028343e-02,1.68393000e-03
3.731000,-1.024037e-02,1.67369000e-03
3.732000,-1.019509e-02,1.66349400e-03
3.733000,-1.015318e-02,1.65334100e-03
3.734000,-1.011170e-02,1.64323000e-03
3.735000,-1.006164e-02,1.63316800e-03
3.736000,-1.000916e-02,1.62315900e-03
3.737000,-9.960785e-03,1.61319800e-03
3.738000,-9.912138e-03,1.60328600e-03
3.739000,-9.859865e-03,1.59342600e-03
3.740000,-9.810152e-03,1.58361600e-03
3.741000,-9.762902e-03,1.57385300e-03
3.742000,-9.718280e-03,1.56413500e-03
3.743000,-9.673590e-03,1.55446100e-03
3.744000,-9.628812e-03,1.54483200e-03
3.745000,-9.580373e-03,1.53525200e-03
3.746000,-9.535074e-03,1.52571700e-03
3.747000,-9.493025e-03,1.51622400e-03
3.748000,-9.449769e-03,1.50677400e-03
3.749000,-9.408070e-03,1.49736600e-03
3.750000,-9.369746e-03,1.48799600e-03
3.751000,-9.329929e-03,1.47866600e-03
3.752000,-9.291015e-03,1.46937500e-03
3.753000,-9.249172e-03,1.46012600e-03
3.754000,-9.201558e-03,1.45092500e-03
3.755000,-9.155956e-03,1.44176900e-03
3.756000,-9.116601e-03,1.43265200e-03
3.757000,-9.075951e-03,1.42357600e-03
3.758000,-9.033574e-03,1.41454200e-03
3.759000,-8.991604e-03,1.40555100e-03
3.760000,-8.948918e-03,1.39660200e-03
3.761000,-8.900542e-03,1.38770100e-03
3.762000,-8.850861e-03,1.37885100e-03
3.763000,-8.804706e-03,1.37004600e-03
3.764000,-8.758891e-03,1.36128700e-03
3.765000,-8.711809e-03,1.35257500e-03
3.766000,-8.667455e-03,1.34390800e-03
3.767000,-8.623995e-03,1.33528400e-03
3.768000,-8.580172e-03,1.32670400e-03
3.769000,-8.534876e-03,1.31816900e-03
3.770000,-8.490475e-03,1.30967800e-03
3.771000,-8.449280e-03,1.30122900e-03
3.772000,-8.407137e-03,1.29282200e-03
3.773000,-8.365184e-03,1.28445700e-03
3.774000,-8.318105e-03,1.27613800e-03
3.775000,-8.266616e-03,1.26787200e-03
3.776000,-8.212928e-03,1.25965900e-03
3.777000,-8.163914e-03,1.25149500e-03
3.778000,-8.117112e-03,1.24337800e-03
3.779000,-8.072421e-03,1.23530500e-03
3.780000,-8.030817e-03,1.22727500e-03
3.781000,-7.989326e-03,1.21928500e-03
3.782000,-7.945515e-03,1.21134000e-03
